Word,Count
amazon,122
board,122
question,122
short,121
syracuse,121
campfire,121
robins,121
garland,120
florence,120
career,120
gohmert,119
session,119
again,119
james,118
pleased,118
gosar,118
baby,118
syria,117
intel,117
asset,116
fix,116
air,115
remember,115
est,115
less,115
michael,115
psalm,115
buchanan,114
private,114
remove,113
kentuckians,113
up,112
soar,112
monopoly,112
alpolitic,112
drought,111
omaha,111
recently,111
cubano,110
summit,110
régimen,110
bigtech,109
john,109
liberty,109
nyc,108
vancouver,108
in,108
impeach,108
trevor,108
accountable,108
conservative,107
appointment,106
mueller,105
sosnicaragua,105
debate,105
re,104
ortega,104
houston,104
term,103
assad,103
ida,103
view,102
md,102
abuse,102
leesburg,101
invoke,101
cdc,100
contact,100
prior,100
conclusion,100
caleg,99
speed,99
jacksonville,98
pt,98
mayorkas,97
bay,96
sotu,95
breaking,95
prevent,95
tweet,95
operation,94
love,94
wilmington,93
prayer,92
wotus,92
warp,91
investigation,89
hard,89
solidarity,88
whistleblower,87
nv,87
reno,87
tcot,87
lwcf,86
jordan,86
nasa,86
iowaag,86
higgins,85
weekend,85
answer,85
solution,83
cyber,83
swva,82
ninth,82
deliver,81
representative,81
upstate,81
malliotakis,79
greenville,79
industry,78
twitter,77
israel,76
whereistheczar,74
foreign,74
leader,74
radio,73
hollingsworth,69
launch,67
amazing,65
oregon,63
open,62
civicswithscott,62
incredible,59
wherearethejob,58
gop,56
free,56
dollar,55
rgv,54
trey,54
natural,53
lakeland,52
have,50
owens,50
acre,49
brevard,48
excited,48
plano,48
nevadans,48
resources,48
pr,47
moolenaar,45
creekfire,44
welcome,44
online,42
secretary,41
forum,41
auburn,39
january,39
irandeal,39
evacuation,39
indian,37
cartel,37
westernwater,35
más,34
fltcot,34
passes,33
lakes,29
brownsville,28
territory,27
opmhack,27
klamath,25
sasse,25
harlingen,25
speech,24
story,24
op,22
txlege,22
aquí,22
yet,15
walk,15
brave,14
lincoln,14
future,14
hb,13
instead,13
happen,10
academy,6
wildfire,6
nomination,5
sequoias,5
endorsement,4
campaign,4
ad,3
next,3
run,3
check,2
value,2
christmas,2
alert,2
jackie,2
endorse,2
humble,2
television,2
result,2
